Company,TypeName,Ram,OpSys,Weight,Price_euros,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand
Acer,Notebook,4,Windows 10,0.7419373447293773,449.0,0,0,4.609706579589369,Intel Core i3,0,128,Intel
MSI,Gaming,32,Windows 10,1.4816045409242156,2799.0,0,0,4.785182543343287,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,8,Windows 10,0.6418538861723947,813.0,0,0,4.950262293702735,Intel Core i5,1000,128,AMD
HP,2 in 1 Convertible,8,Windows 10,0.25464221837358075,1499.0,1,1,5.802916353290464,Intel Core i5,0,256,Intel
Dell,Notebook,16,Linux,0.7030975114131134,1049.0,0,0,4.950262293702735,Intel Core i7,2000,256,AMD
Dell,Ultrabook,8,Windows 10,0.20701416938432612,1399.0,0,0,5.109769172730519,Intel Core i5,0,256,Intel
Lenovo,2 in 1 Convertible,16,Windows 10,0.3364722366212129,1849.0,1,1,5.758791548381526,Intel Core i7,0,512,Intel
Toshiba,Notebook,8,Windows 10,0.6931471805599453,793.0,0,0,4.609706579589369,Intel Core i5,0,128,Intel
Dell,Notebook,16,Windows 10,1.0188473201992472,1549.0,1,0,4.846826706454493,Intel Core i7,0,512,Nvidia
Dell,Notebook,16,Windows 10,0.7227059828014898,2397.0,1,0,5.643409474262681,Intel Core i7,0,512,Nvidia
Lenovo,Gaming,8,No OS,0.8754687373538999,779.0,0,1,4.950262293702735,Intel Core i5,0,256,Nvidia
Acer,Ultrabook,8,Windows 10,0.11332868530700327,989.0,0,1,5.109769172730519,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows 10,1.0296194171811581,1085.0,0,0,4.846826706454493,Intel Core i7,1000,128,AMD
Lenovo,2 in 1 Convertible,16,Windows 10,0.35065687161316933,2824.0,1,0,5.346157950794749,Intel Core i7,0,1000,Intel
Lenovo,Notebook,8,No OS,1.0296194171811581,698.0,0,0,4.664505149660539,Intel Core i5,0,256,Nvidia
Dell,2 in 1 Convertible,8,Windows 10,0.4824261492442928,839.0,1,1,5.109769172730519,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows 10,0.9162907318741551,914.0,0,1,4.846826706454493,Intel Core i5,1000,0,Nvidia
Razer,Gaming,32,Windows 10,1.2499017362143359,6099.0,1,0,5.539973887014439,Intel Core i7,0,1000,Nvidia
HP,Notebook,8,Windows 10,0.3987761199573678,959.0,0,0,5.109769172730519,Intel Core i5,0,512,Intel
HP,Gaming,16,Windows 10,1.208960345836975,1379.0,0,1,4.846826706454493,Intel Core i7,1000,256,Nvidia
HP,Notebook,8,Windows 10,0.9162907318741551,1045.0,0,0,4.846826706454493,Intel Core i7,0,256,Nvidia
Dell,Gaming,16,Windows 10,0.9745596399981308,1845.0,0,1,5.643409474262681,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,4,Windows 10,0.7419373447293773,493.0,0,0,4.609706579589369,Intel Core i5,0,128,Intel
Acer,Notebook,8,Windows 10,0.8020015854720274,742.0,0,0,4.950262293702735,Intel Core i7,1000,0,Nvidia
Lenovo,Gaming,16,Windows 10,1.1631508098056809,1749.0,0,1,4.950262293702735,Intel Core i7,1000,512,Nvidia
Dell,Workstation,16,Windows 10,1.0296194171811581,3055.0,0,0,5.643409474262681,Other Intel Processor,1000,256,Nvidia
Lenovo,Gaming,16,No OS,0.8754687373538999,1398.0,0,0,4.950262293702735,Intel Core i7,0,512,Nvidia
Dell,Notebook,6,Windows 10,0.8329091229351039,439.0,1,0,4.609706579589369,Intel Core i3,1000,0,Intel
Dell,Ultrabook,8,Windows 10,0.1906203596086497,1949.0,1,1,5.802916353290464,Intel Core i7,0,256,Intel
Dell,Ultrabook,8,Windows 10,0.1823215567939546,1449.0,0,0,5.109769172730519,Intel Core i7,0,256,Intel
Lenovo,Notebook,8,Windows 10,0.7884573603642703,597.0,0,0,4.609706579589369,Intel Core i5,0,256,Intel
Acer,Notebook,8,Linux,0.8754687373538999,779.0,0,0,4.950262293702735,Intel Core i7,1000,0,Nvidia
Asus,Gaming,16,Windows 10,1.0647107369924282,1407.0,0,0,4.846826706454493,Intel Core i7,1000,256,Nvidia
HP,Notebook,4,No OS,0.7419373447293773,349.0,0,0,4.950262293702735,Intel Core i3,500,0,Intel
Lenovo,Notebook,8,No OS,0.7884573603642703,549.0,0,0,4.950262293702735,Intel Core i5,0,256,Intel
Dell,Ultrabook,8,Windows 10,0.3364722366212129,931.88,0,1,5.109769172730519,Intel Core i7,0,256,AMD
Lenovo,Notebook,8,No OS,1.0296194171811581,589.0,0,0,4.664505149660539,Intel Core i5,1000,0,Nvidia
HP,Notebook,8,Windows 10,0.4885800148186709,1031.0,0,0,5.058475878342969,Intel Core i7,0,256,Nvidia
